void Simulation::allocateMemory(): 0.0000027800s
void Simulation::initialize(DataSupplier *supplier): 0.0001994830s
void Simulation::pairDistribution(double *histogram, int size, double coef): 0.0005981790s
double Simulation::Ekin(): 0.0000015900s
double Simulation::minDistance(int idx): 0.0000010500s
double Simulation::minDistance(int idx): 0.0000007300s
double Simulation::minDistance(int idx): 0.0000006700s
double Simulation::minDistance(int idx): 0.0000006800s
double Simulation::minDistance(int idx): 0.0000007300s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0001485330s
double Simulation::minDistance(int idx): 0.0000007900s
double Simulation::minDistance(int idx): 0.0000422400s
double Simulation::minDistance(int idx): 0.0001191620s
double Simulation::minDistance(int idx): 0.0000884510s
double Simulation::minDistance(int idx): 0.0000108500s
double Simulation::minDistance(int idx): 0.0000685310s
double Simulation::minDistance(int idx): 0.0001752930s
double Simulation::minDistance(int idx): 0.0001051520s
double Simulation::minDistance(int idx): 0.0001389420s
double Simulation::minDistance(int idx): 0.0000156400s
double Simulation::minDistance(int idx): 0.0000008600s
double Simulation::minDistance(int idx): 0.0001201820s
double Simulation::minDistance(int idx): 0.0000900620s
double Simulation::minDistance(int idx): 0.0000133710s
double Simulation::minDistance(int idx): 0.0000007000s
double Simulation::minDistance(int idx): 0.0000435510s
double Simulation::minDistance(int idx): 0.0001090920s
double Simulation::minDistance(int idx): 0.0001300020s
double Simulation::minDistance(int idx): 0.0000850310s
double Simulation::minDistance(int idx): 0.0001068620s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000157800s
double Simulation::minDistance(int idx): 0.0000484410s
double Simulation::minDistance(int idx): 0.0001072420s
double Simulation::minDistance(int idx): 0.0000738710s
double Simulation::minDistance(int idx): 0.0000008700s
double Simulation::minDistance(int idx): 0.0000107600s
double Simulation::minDistance(int idx): 0.0001018520s
double Simulation::minDistance(int idx): 0.0000429310s
double Simulation::minDistance(int idx): 0.0000006800s
double Simulation::minDistance(int idx): 0.0000430100s
double Simulation::minDistance(int idx): 0.0000662910s
double Simulation::minDistance(int idx): 0.0000116300s
double Simulation::minDistance(int idx): 0.0001284130s
double Simulation::minDistance(int idx): 0.0001066910s
double Simulation::minDistance(int idx): 0.0000731610s
double Simulation::minDistance(int idx): 0.0000430310s
double Simulation::minDistance(int idx): 0.0000679310s
double Simulation::minDistance(int idx): 0.0000007100s
double Simulation::minDistance(int idx): 0.0000439710s
double Simulation::minDistance(int idx): 0.0000122310s
double Simulation::minDistance(int idx): 0.0001083220s
double Simulation::minDistance(int idx): 0.0001018820s
double Simulation::minDistance(int idx): 0.0000006300s
double Simulation::minDistance(int idx): 0.0000439710s
double Simulation::minDistance(int idx): 0.0000700520s
double Simulation::minDistance(int idx): 0.0000147700s
double Simulation::minDistance(int idx): 0.0000108900s
double Simulation::minDistance(int idx): 0.0001032220s
double Simulation::minDistance(int idx): 0.0000007800s
double Simulation::minDistance(int idx): 0.0000695610s
double Simulation::minDistance(int idx): 0.0000430010s
double Simulation::minDistance(int idx): 0.0001270820s
double Simulation::minDistance(int idx): 0.0000521600s
double Simulation::minDistance(int idx): 0.0000006500s
double Simulation::minDistance(int idx): 0.0000166600s
double Simulation::minDistance(int idx): 0.0000218800s
double Simulation::minDistance(int idx): 0.0000066300s
double Simulation::minDistance(int idx): 0.0000492610s
double Simulation::minDistance(int idx): 0.0000132510s
double Simulation::minDistance(int idx): 0.0000005200s
double Simulation::minDistance(int idx): 0.0000668210s
double Simulation::minDistance(int idx): 0.0000953720s
double Simulation::minDistance(int idx): 0.0000424710s
double Simulation::minDistance(int idx): 0.0001252020s
double Simulation::minDistance(int idx): 0.0001149120s
double Simulation::minDistance(int idx): 0.0000004700s
double Simulation::minDistance(int idx): 0.0000107300s
double Simulation::minDistance(int idx): 0.0000627810s
double Simulation::minDistance(int idx): 0.0000873620s
double Simulation::minDistance(int idx): 0.0000358210s
double Simulation::minDistance(int idx): 0.0001099920s
double Simulation::minDistance(int idx): 0.0000005500s
double Simulation::minDistance(int idx): 0.0000111900s
double Simulation::minDistance(int idx): 0.0000608810s
double Simulation::minDistance(int idx): 0.0000364510s
double Simulation::minDistance(int idx): 0.0000849410s
double Simulation::minDistance(int idx): 0.0000121200s
double Simulation::minDistance(int idx): 0.0001127120s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000613110s
double Simulation::minDistance(int idx): 0.0000859110s
double Simulation::minDistance(int idx): 0.0000370100s
double Simulation::minDistance(int idx): 0.0000899210s
double Simulation::minDistance(int idx): 0.0000359900s
double Simulation::minDistance(int idx): 0.0000816810s
double Simulation::minDistance(int idx): 0.0000005100s
double Simulation::minDistance(int idx): 0.0000122200s
double Simulation::minDistance(int idx): 0.0000581510s
double Simulation::minDistance(int idx): 0.0001151820s
double Simulation::minDistance(int idx): 0.0000005300s
double Simulation::minDistance(int idx): 0.0000118400s
double Simulation::minDistance(int idx): 0.0000369710s
double Simulation::minDistance(int idx): 0.0000612610s
double Simulation::minDistance(int idx): 0.0000863420s
double Simulation::minDistance(int idx): 0.0001149520s
double Simulation::minDistance(int idx): 0.0000005000s
double Simulation::minDistance(int idx): 0.0000143700s
double Simulation::minDistance(int idx): 0.0000407610s
double Simulation::minDistance(int idx): 0.0000867110s
double Simulation::minDistance(int idx): 0.0000631010s
double Simulation::minDistance(int idx): 0.0001104020s
double Simulation::minDistance(int idx): 0.0000358400s
double Simulation::minDistance(int idx): 0.0000110200s
double Simulation::minDistance(int idx): 0.0000835610s
double Simulation::minDistance(int idx): 0.0000006100s
double Simulation::minDistance(int idx): 0.0000585610s
double Simulation::minDistance(int idx): 0.0001210220s
double Simulation::minDistance(int idx): 0.0000755810s
double Simulation::minDistance(int idx): 0.0000165700s
double Simulation::minDistance(int idx): 0.0000413400s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000962310s
double Simulation::minDistance(int idx): 0.0000947810s
double Simulation::minDistance(int idx): 0.0000728410s
double Simulation::minDistance(int idx): 0.0000141700s
double Simulation::minDistance(int idx): 0.0001023520s
double Simulation::minDistance(int idx): 0.0000006200s
double Simulation::minDistance(int idx): 0.0000387910s
double Simulation::minDistance(int idx): 0.0000957620s
double Simulation::minDistance(int idx): 0.0000766710s
double Simulation::minDistance(int idx): 0.0000431710s
double Simulation::minDistance(int idx): 0.0001032810s
double Simulation::minDistance(int idx): 0.0000005600s
double Simulation::minDistance(int idx): 0.0000134300s
double Simulation::minDistance(int idx): 0.0001012320s
double Simulation::minDistance(int idx): 0.0000807610s
double Simulation::minDistance(int idx): 0.0000152300s
double Simulation::minDistance(int idx): 0.0000477510s
double Simulation::minDistance(int idx): 0.0001054720s
double Simulation::minDistance(int idx): 0.0000006800s
double Simulation::minDistance(int idx): 0.0000961820s
double Simulation::minDistance(int idx): 0.0001025120s
double Simulation::minDistance(int idx): 0.0000427210s
double Simulation::minDistance(int idx): 0.0000131010s
double Simulation::minDistance(int idx): 0.0000006400s
double Simulation::minDistance(int idx): 0.0000679410s
double Simulation::minDistance(int idx): 0.0001248920s
